StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,srcUdata,dstUdata,Label
1970/01/01 01:00:00.000000,0.000000,llc,00:00:00:00:00:00,,   ->,00:00:00:00:00:00,,INT,,,1,60,60,,,
1970/01/01 01:00:06.297009,3484.079834,udp,fe80::50be:8acf:be49:8c14,546,   ->,ff02::1:2,547,INT,0,,63,9198,9198,s[640]=AZ2EYgAIAAIAAAABAA4AAQABF1HDIggAJzyNyQADAAwOCAAnAAAAAAAAAAAAJwAGAARXSU4zABAADgAAATcACE1TRlQgNS4wAAYACAAYABcAEQAnAZ2EYgAIAAIAZAABAA4AAQABF1HDIggAJzyNyQADAAwOCAAnAAAAAAAAAAAAJwAGAARXSU4zABAADgAAATcACE1TRlQgNS4wAAYACAAYABcAEQAnAZ2EYgAIAAIBLAABAA4AAQABF1HDIggAJzyNyQADAAwOCAAnAAAAAAAAAAAAJwAGAARXSU4zABAADgAAATcACE1TRlQgNS4wAAYACAAYABcAEQAnAZ2EYgAIAAICvAABAA4AAQABF1HDIggAJzyNyQADAAwOCAAnAAAAAAAAAAAAJwAGAARXSU4zABAADgAAATcACE1TRlQgNS4wAAYACAAYABcAEQAnAZ2EYgAIAAIF3AABAA4AAQABF1HDIggAJzyNyQADAAwOCAAnAAAAAAAAAAAAJwAGAARXSU4zABAADgAAATcACE1TRlQgNS4wAAYACAAYABcAEQAnAZ2EYgAIAAIMHAABAA4AAQABF1HDIggAJzyNyQADAAwOCAAnAAAAAAAAAAAAJwAGAARXSU4zABAADgAA,,
1970/01/01 01:00:06.377298,2.002844,arp,0.0.0.0,,  who,10.0.2.103,,INT,,,3,126,126,,,
1970/01/01 01:00:06.377432,0.000000,ipv6-icmp,::,135,   ->,ff02::1:ff49:8c14,,NNS,0,,1,78,78,s[32]=hwDJ3QAAAAD+gAAAAAAAAFC+is++SYwU,,
1970/01/01 01:00:06.377486,8.001494,ipv6-icmp,fe80::50be:8acf:be49:8c14,133,   ->,ff02::2,,NRS,0,,3,210,210,s[64]=hQAm0wAAAAABAQgAJz0AMoUAJtMAAAAAAQEIACc9ADKFACbTAAAAAAEBCAAnPQAy,,
1970/01/01 01:00:06.377556,0.500653,ipv6-icmp,fe80::50be:8acf:be49:8c14,143,   ->,ff02::16,,UNK,0,,2,180,180,s[76]=jwC+vwAAAAEEAAAA/wIAAAAAAAAAAAAB/0mMFI8Avr8AAAABBAAAAP8CAAAAAAAAAAAAAf9JjBQ=,,
1970/01/01 01:00:06.822908,2619.944824,arp,10.0.2.103,,  who,10.0.2.2,,CON,,,30,1260,630,,,
1970/01/01 01:00:08.522360,4.005232,udp,10.0.2.103,61726,  <->,8.8.8.8,53,CON,0,0,3,244,152,s[92]=8AMBAAABAAAAAAAAA2Rucwhtc2Z0bmNzaQNjb20AAAEAAfADAQAAAQAAAAAAAANkbnMIbXNmdG5jc2kDY29tAAABAAE=,d[68]=8AOBgAABAAEAAAAAA2Rucwhtc2Z0bmNzaQNjb20AAAEAAcAMAAEAAQAAAAwABINr//8=,
1970/01/01 01:00:08.523572,0.000199,arp,10.0.2.2,,  who,10.0.2.103,,CON,,,2,84,42,,,
1970/01/01 01:00:09.522350,3.004504,udp,10.0.2.103,61726,   ->,4.4.4.4,53,INT,0,,3,228,228,s[136]=8AMBAAABAAAAAAAAA2Rucwhtc2Z0bmNzaQNjb20AAAEAAfADAQAAAQAAAAAAAANkbnMIbXNmdG5jc2kDY29tAAABAAHwAwEAAAEAAAAAAAADZG5zCG1zZnRuY3NpA2NvbQAAAQAB,,
