StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
1970/01/01 01:00:10.347452,8.001000,ipv6-icmp,fe80::da58:d7ff:fe00:f72,133,   ->,fe80::69b0:5ca7:a676:2c5a,0,NRS,0,,3,594,594,
1970/01/01 01:00:10.347713,48.999378,arp,192.168.1.117,,  who,192.168.1.2,,RSP,,,20,840,0,
1970/01/01 01:00:10.757967,249.086441,ipv6-icmp,fd2d:ab8c:225::1,135,  <->,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,0,NNS,0,0,4,336,250,
1970/01/01 01:00:10.758127,0.040865,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,53631,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,208,96,
1970/01/01 01:00:10.799375,0.007421,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,60643,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,220,96,
1970/01/01 01:00:11.167598,47.048702,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::69b0:5ca7:a676:2c5a,546,INT,0,,15,2717,2717,
1970/01/01 01:00:15.350979,254.512360,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::69b0:5ca7:a676:2c5a,0,NNS,0,0,13,1102,586,
1970/01/01 01:00:15.766999,244.544403,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,0,NNS,0,0,6,516,258,
1970/01/01 01:03:29.982383,0.000336,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,58926,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:03:32.569410,0.535218,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,62980,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:03:40.408901,0.000618,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,59989,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:03:46.267802,0.000603,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,53140,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:03:47.670099,0.000611,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,51381,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:03:53.527181,0.000667,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,65043,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:03:54.929589,0.000552,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,64254,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:04:00.788207,0.000738,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,65058,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:04:02.191398,0.000565,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,56410,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:04:08.049930,0.000752,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,55148,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
1970/01/01 01:04:15.308698,0.000565,udp,fd2d:ab8c:225:0:51e6:bfd4:61a6:7837,57818,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,278,93,
