StartTime,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label
1970/01/01 01:00:06.697993,1310.749756,arp,192.168.1.112,,  who,192.168.1.2,,RSP,,,9,378,0,
1970/01/01 01:00:06.708788,8.001140,ipv6-icmp,fe80::da58:d7ff:fe00:f72,133,   ->,fe80::5440:d617:fa87:1f07,0,NRS,0,,3,594,594,
1970/01/01 01:00:07.439277,1.022562,udp,fe80::da58:d7ff:fe00:f72,547,   ->,fe80::5440:d617:fa87:1f07,546,INT,0,,3,561,561,
1970/01/01 01:00:09.761156,1433.450439,ipv6-icmp,fd2d:ab8c:225::1,135,  <->,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,0,NNS,0,0,7,594,508,
1970/01/01 01:00:09.761394,0.000289,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,62524,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:00:11.712445,1441.514648,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fe80::5440:d617:fa87:1f07,0,NNS,0,0,20,1704,1016,
1970/01/01 01:00:12.317277,0.099498,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,52234,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,298,96,
1970/01/01 01:00:12.417370,0.006669,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,62804,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,325,96,
1970/01/01 01:00:12.425807,0.000467,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,54926,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,298,96,
1970/01/01 01:00:12.426793,0.000481,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,60491,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,325,96,
1970/01/01 01:00:12.427863,0.998608,tcp,192.168.1.112,49159,   ->,195.113.232.75,80,S_RA,0,0,6,356,194,
1970/01/01 01:00:13.426900,1.001603,tcp,192.168.1.112,49160,   ->,195.113.232.73,80,S_RA,0,0,6,356,194,
1970/01/01 01:00:14.768392,1433.451172,ipv6-icmp,fe80::da58:d7ff:fe00:f72,135,  <->,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,0,NNS,0,0,12,1032,516,
1970/01/01 01:00:17.441213,0.000211,arp,192.168.1.2,,  who,192.168.1.112,,CON,,,2,84,42,
1970/01/01 01:11:58.016494,0.000334,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,60970,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:12:00.571160,0.000323,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,51047,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,182,91,
1970/01/01 01:12:00.903563,609.544617,arp,192.168.1.112,,  who,192.168.1.1,,RSP,,,3,180,0,
1970/01/01 01:12:00.903746,1.003379,tcp,192.168.1.112,49163,   ->,192.168.1.1,445,S_RA,0,0,6,374,194,
1970/01/01 01:12:02.903915,1.002981,tcp,192.168.1.112,49164,   ->,192.168.1.1,139,S_RA,0,0,6,374,194,
1970/01/01 01:12:03.136773,0.000288,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,53931,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:12:04.904741,0.000000,tcp,192.168.1.112,49165,   ->,192.168.1.2,445,S_,0,,1,66,66,
1970/01/01 01:12:05.705498,60.238739,tcp,192.168.1.112,49166,   ->,192.168.1.2,80,SRPA_SPA,0,0,8,765,382,
1970/01/01 01:12:06.904595,0.000000,tcp,192.168.1.112,49167,   ->,192.168.1.2,139,S_,0,,1,66,66,
1970/01/01 01:12:18.093131,0.000390,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,64443,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:12:20.805020,3.051545,tcp,192.168.1.112,49174,   ->,192.168.1.2,80,SRPA_SPA,0,0,12,1632,688,
1970/01/01 01:12:21.046976,0.000344,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,49583,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:12:24.133122,0.000379,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,63760,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:12:26.689293,2.806702,tcp,192.168.1.112,49178,   ->,192.168.1.2,80,FSRPA_SPA,0,0,12,1963,721,
1970/01/01 01:12:26.928410,0.000351,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,54074,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:12:29.507117,0.000597,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,51386,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:12:32.062625,2.910786,tcp,192.168.1.112,49182,   ->,192.168.1.2,80,FSRPA_SPA,0,0,12,1979,729,
1970/01/01 01:12:32.302466,0.000377,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,60078,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:15:03.162533,0.000715,udp,fd2d:ab8c:225:0:79ec:26b9:bb98:fae8,53140,  <->,fd2d:ab8c:225::1,53,CON,0,0,2,176,88,
1970/01/01 01:15:05.720612,6.007074,tcp,192.168.1.112,49260,   ->,192.168.1.1,80,FSPA_FSPA,0,0,11,1249,470,
1970/01/01 01:20:43.135726,105.063766,arp,192.168.1.112,,  who,192.168.1.132,,RSP,,,2,120,0,
1970/01/01 01:20:43.135952,0.000000,tcp,192.168.1.112,49430,   ->,192.168.1.132,445,S_,0,,1,66,66,
1970/01/01 01:20:45.019629,0.000000,tcp,192.168.1.112,49431,   ->,192.168.1.132,139,S_,0,,1,66,66,
